name,city,area,cuisines_clean,rating_clean,delivery_mins,minDeliveryTime,maxDeliveryTime,cost_two_clean,visibility_index
MEGHDUTH BIRYANIS,Bangalore,Jayanagar,"Andhra, Biryani, South, Indian",4.2,46,46,46,400,19.38350617
South Spicy Bites Xpress,Bangalore,Rajajinagar,"Biryani, Coastal, Mangalorean, Seafood, Chinese, South, Indian",4.2,55,55,55,299,16.51366766
The Bowl Company,Bangalore,Central Bangalore,"Continental, North, Indian, Pan-Asian, Desserts, American, Asian, Beverages, Biryani, Chinese, Combo, European, Grill, Hyderabadi, Indian, Italian, Kebabs, Lucknowi, Mediterranean, Mexican, Mughlai, Oriental, Pastas, Punjab",4.2,53,53,53,300,29.01677007
Domino's Pizza,Bangalore,Central Bangalore,Pizzas,4.1,30,30,30,400,12.48254199
Hotel New Karavali,Bangalore,Banashankari,"North, Indian, Chinese, South, Indian",3.8,53,53,53,250,17.53745796
Karnataka Bhel House,Bangalore,Chamrajpet,Chaat,4.4,37,37,37,100,27.35306684
Szechuan Dragon,Bangalore,Banashankari,"Chinese, Thai",4.1,57,57,57,500,25.48808501
Onesta,Bangalore,Indiranagar,"Italian, Desserts, Pizzas, American, Snacks",3.9,57,57,57,200,24.24476379
SLV Corner Restaurant,Bangalore,Shankarapura,"Chinese, South, Indian, North, Indian, Desserts, Fast, Food",4.3,47,47,47,450,29.70764555
Glen's Bakehouse,Bangalore,Ashok Nagar,"Desserts, Bakery",4.3,34,34,34,500,19.84501822
Paakashala ,Bangalore,Ashok Nagar,"South, Indian, North, Indian, Chinese",4.3,37,37,37,500,19.84501822
99 VARIETY AND DOSA & PAV BHAJI,Bangalore,Koramangala,"South, Indian",4,59,59,59,200,24.8664244
Rajathadri Food Fort,Bangalore,Jayanagar,"Chinese, South, Indian, North, Indian, Desserts, Fast, Food",4.4,47,47,47,350,30.39852103
WarmOven Cake & Desserts,Bangalore,Central Bangalore,"Bakery, Desserts, Ice, Cream",4.2,46,46,46,200,19.38350617
Venus Biryani,Bangalore,Domlur,Biryani,4.1,49,49,49,200,25.48808501
Manjit Da Dhaba,Bangalore,Cox Town,"North, Indian",4.5,51,51,51,350,31.08939651
NIC Natural Ice Creams,Bangalore,Pulikeshi Nagar,"Ice, Cream, Desserts",4.6,40,40,40,120,21.22955438
The Belgian Waffle Co.,Bangalore,Shankarapura,"Desserts, Beverages",4.5,40,40,40,200,20.76804233
Green Onion Chinese,Bangalore,Ashok Nagar,Chinese,4.4,33,33,33,450,27.35306684
Shree Mahalakshmi Sweets,Bangalore,Chamrajpet,"Sweets, Snacks",4.1,59,59,59,200,18.92199412
Nagarjuna Chimney,Bangalore,Jayanagar,"Seafood, Andhra, Biryani, South, Indian, Combo, Desserts, Beverages",4.2,48,48,48,800,29.01677007
Natraj Chole Bhature,Bangalore,Jayanagar,"Indian, Chaat, Sweets",4.2,46,46,46,299,26.10974562
Sagar Delicacy,Bangalore,Sivanchetti Gardens,"North, Indian, South, Indian, Chinese",4.3,51,51,51,300,19.84501822
Biryani by Kilo,Bangalore,Koramangala,"Biryani, Hyderabadi, Lucknowi, Kebabs, Mughlai, North, Indian, Desserts, Beverages",4.1,72,72,72,500,25.48808501
