name,city,area,cuisines_clean,rating_clean,delivery_mins,minDeliveryTime,maxDeliveryTime,cost_two_clean,visibility_index
Kedia's Funfood,Bangalore,Jayanagar,"Street, Food",4.3,49,49,49,200,26.73140623
Kudla Beach,Bangalore,Rajajinagar,"North, Indian, Chinese, Seafood, South, Indian",3.9,59,59,59,400,11.87363751
Chinese Nalapaka,Bangalore,Guttahalli,"Chinese, Indian",3.9,56,56,56,200,15.33411997
Tottos pizza,Bangalore,Central Bangalore,"Continental, Italian",4.6,44,44,44,500,18.08639791
Azuki Japan Travel  Bistro And Sake,Bangalore,Central Bangalore,"Japanese, Desserts, Pan-Asian, Bakery, Snacks",4.6,49,49,49,1200,18.08639791
Chaat Street,Bangalore,Koramangala,"Fast, Food, Snacks, Chaat, Street, Food, Beverages, Combo, North, Indian, Indian, Maharashtrian, Rajasthani",4.2,58,58,58,200,19.38350617
The Ritz-Carlton - The Market,Bangalore,Ashok Nagar,"Indian, Continental, Asian",4.1,52,52,52,1000,12.48254199
Hari Super Sandwich,Bangalore,Ashok Nagar,"Fast, Food",4,30,30,30,100,18.46048207
Chat and cool corner,Bangalore,R.T. Nagar,"Fast, Food, Chaat",,57,57,57,100,
Piazza pizza by Little Italy,Bangalore,Jayanagar,"Pizzas, Salads, Combo, Italian, Mexican, Desserts, Beverages, Pastas",3.8,53,53,53,500,11.56918526
LAKSHMI SUPER SANDWICH,Bangalore,Central Bangalore,"Pizzas, Chaat, Snacks",,36,36,36,149,
Pure and Natural,Bangalore,Central Bangalore,"Juices, Continental",,47,47,47,450,
Southern Soul Restaurant,Bangalore,Koramangala,"South, Indian",4.1,56,56,56,250,18.92199412
Kava - Fairfield by Marriott Rajajinagar,Bangalore,Rajajinagar,"Indian, Continental",3.3,65,65,65,700,10.04692404
Waffle Head,Bangalore,Banashankari,"Desserts, Beverages",,48,48,48,250,
JW Kitchen - JW Marriott,Bangalore,Ashok Nagar,"Indian, Continental",4.1,40,40,40,1000,16.12048509
Mozon Burger,Bangalore,Koramangala,"Fast, Food, Salads, Desserts",,57,57,57,250,
Cafe Felix,Bangalore,Ulsoor,"American, Continental, Desserts, Pizzas, Pastas",4,50,50,50,1000,12.17808975
Kapoors Chaat Bhandaar,Bangalore,Rajajinagar,"Street, Food, North, Indian, Desserts",4.2,55,55,55,250,19.38350617
Tea Villa Cafe,Bangalore,Jayanagar,"Chinese, Continental, Desserts, Fast, Food, Italian, Mexican, Pan-Asian",4.2,50,50,50,1000,16.51366766
SIMPLI NAMDHARI,Bangalore,Ashok Nagar,"Chinese, European, Italian, North, Indian, Salads",4.4,46,46,46,500,13.39589873
Taiki,Bangalore,Jayanagar,"Pan-Asian, Japanese, Korean, Thai, Sushi, Beverages, Asian, Chinese",4,55,55,55,800,18.46048207
Andhra Biryanis,Bangalore,Indiranagar,"Andhra, Biryani, Hyderabadi, Chinese, Tandoor",4.2,54,54,54,400,19.38350617
Sugo,Bangalore,Ejipura,"Italian, Pastas, Pizzas, Desserts",4,60,60,60,300,18.46048207
Raffaele's Ristorante Pizzeria,Bangalore,Koramangala,"Pizzas, Continental, Pastas, Fast, Food, Beverages",4.3,61,61,61,800,19.84501822
THE CAKE HOUSE,Bangalore,Basavanagudi,"Indian, Bakery, Sweets",4.3,54,54,54,280,13.09144648
Voosh Thalis & Bowls,Bangalore,Frazer Town,"North, Indian, Home, Food, Indian, Beverages, Thalis, Combo",4.1,52,52,52,199,16.12048509
Lavender Bakery by Fresh Pressery,Bangalore,Koramangala,"Bakery, American, Beverages, Pastas, Desserts",4.3,66,66,66,250,19.84501822
Juno,Bangalore,Koramangala,"Pan-Asian, Oriental, Chinese, Indian, Persian",,68,68,68,300,
Uff (Urban Food Factory),Bangalore,Jayanagar,"Indian, Seafood, Chinese, Snacks",3.9,49,49,49,300,11.87363751
XOOX Brewmill,Bangalore,Koramangala,"North, Indian, Chinese, Pizzas, Continental, Desserts, Pastas, Fast, Food, American, Italian, Salads, Combo",4.5,64,64,64,500,13.70035097
Kaati Zone Rolls and Wraps,Bangalore,Central Bangalore,"Fast, Food, Beverages",3.9,40,40,40,200,15.33411997
Orbis Restaurant,Bangalore,Indiranagar,"North, Indian, Biryani, Arabian, Chinese, Snacks, Beverages, Desserts",3.8,51,51,51,400,23.62310318
Momo Zone The Momo Company,Bangalore,Indiranagar,"Chinese, Fast, Food",4.4,64,64,64,200,13.39589873
Wok & Talk,Bangalore,Koramangala,Chinese,,61,61,61,300,
Kolkata famous Kati Roll,Bangalore,Chamrajpet,"Snacks, Fast, Food, Beverages",,52,52,52,99,
Le Gateau - The Cake Shop,Bangalore,Domlur,Desserts,4.3,66,66,66,400,19.84501822
Watson's,Bangalore,Vasanth Nagar,"Fast, Food",,53,53,53,450,
Bheemas,Bangalore,Ashok Nagar,Andhra,4.3,31,31,31,550,19.84501822
LEPCHA DARJEELING MOMOS,Bangalore,Koramangala,Chinese,,58,58,58,150,
five star chicken koli hut,Bangalore,Basavanagudi,"Fast, Food, Thai",,61,61,61,100,
Salt Mango Tree,Bangalore,Indiranagar,"Kerala, South, Indian, Seafood, Biryani, Indian",4.2,54,54,54,300,19.38350617
Basaveshwara Khanavali,Bangalore,Gandhi Nagar,"South, Indian",4.2,47,47,47,200,12.78699424
Arabian palace restaurant,Bangalore,Majestic,"Chinese, Tandoor, Indian",,62,62,62,200,
New Ambur Biryani,Bangalore,Sudhama Nagar,Biryani,,45,45,45,300,
THE SOUP PROJECT,Bangalore,Basavanagudi,"Chinese, Continental",,55,55,55,300,
Crazy Pizza,Bangalore,Ashok Nagar,"Fast, Food, Italian",,48,48,48,400,
ITC Hotels- Nutmeg The Cake Shop,Bangalore,Ashok Nagar,Desserts,,49,49,49,1000,
Faasos,Bangalore,Shantinagar,"Combo, Snacks, Beverages, Desserts, Indian",4.1,34,34,34,200,18.92199412
Paris Panini - French Street Food,Bangalore,Indiranagar,"French, Street, Food",4.4,57,57,57,450,30.39852103
The Bangalore Kitchen,Bangalore,Central Bangalore,"Biryani, Fast, Food, Barbecue",,46,46,46,300,
Madurai Idly shop - Express,Bangalore,Central Bangalore,"South, Indian",4.2,38,38,38,150,19.38350617
Salt - Indian Restaurant Bar & Grill,Bangalore,Adugodi,"North, Indian, Biryani, Thalis, Desserts",4.4,56,56,56,1300,20.30653027
ROMEO LASSI SHOP,Bangalore,Shivaji Nagar,"Beverages, Ice, Cream, Snacks, Desserts",,38,38,38,250,
RUCHI VIRUNDU,Bangalore,Koramangala,"Biryani, South, Indian",,61,61,61,250,
Rolls on Wheels,Bangalore,Vasanth Nagar,"Fast, Food",4.3,38,38,38,300,19.84501822
SAVERA LASSI SHOP,Bangalore,Shivaji Nagar,"Juices, Beverages, Snacks, Ice, Cream",,38,38,38,250,
New Shanti Upahar,Bangalore,Jayanagar,"South, Indian",4.4,50,50,50,200,27.35306684
APPU'S DONNE BIRYANI,Bangalore,Koramangala,Biryani,,57,57,57,400,
Maravanthe,Bangalore,Indiranagar,Seafood,4.3,54,54,54,800,19.84501822
Bangarpet chats,Bangalore,Central Bangalore,Chaat,,37,37,37,110,
4th Tea block,Bangalore,Jayanagar,"Beverages, Snacks",4.6,47,47,47,100,18.08639791
ZED THE BAKER,Bangalore,Central Bengalore,"Italian, Pizzas, Pastas, Indian",4,34,34,34,500,12.17808975
Patio 805,Bangalore,Jayanagar,"Pan-Asian, Fast, Food, Cafe",3.5,53,53,53,300,10.65582853
WOWFFLES,Bangalore,Indiranagar,"Desserts, Bakery",4.1,57,57,57,400,16.12048509
WOOD FIRED PIZZA,Bangalore,Indiranagar,Pizzas,,60,60,60,300,
The Thick Shake Factory,Bangalore,Pulikeshi Nagar,Beverages,4.4,44,44,44,200,20.30653027
Punjabi Zaika,Bangalore,Rajajinagar,"Continental, Italian, Fast, Food",4.1,55,55,55,300,16.12048509
Prowl Foods By Tiger Shroff,Bangalore,Indiranagar,"North, Indian, Continental, Pan-Asian, Oriental",4.4,64,64,64,500,17.30003278
Stegi,Bangalore,Jayanagar,Italian,,50,50,50,1200,
Kudla - Hotel Ramanashree,Bangalore,Sampangi Rama Nagar,"Mangalorean, Seafood, South, Indian, Desserts",,38,38,38,1500,
Chotu Motu Vadapavwala,Bangalore,Basavanagudi,"Fast, Food, Beverages",,50,50,50,100,
Pai Vihar Grand,Bangalore,Nagarathpete,"Chinese, North, Indian, South, Indian",4.3,32,32,32,250,16.90685022
Kunafa World,Bangalore,Pulikeshi Nagar,"Middle, Eastern",4.4,49,49,49,500,20.30653027
Hotel Udupi Ruchi,Bangalore,Rajajinagar,"South, Indian, Chinese, Desserts, North, Indian",4.1,51,51,51,300,18.92199412
Chaatimes,Bangalore,Ashok Nagar,"Chaat, Beverages",4.4,34,34,34,150,13.39589873
Sri Sai Ram Chats and Juice Centre,Bangalore,Malleshwaram,"Chaat, Snacks",4.1,60,60,60,200,18.92199412
ROLLING DOUGH CAFE,Bangalore,Jogupalya,"Italian, Seafood, Desserts, Continental, Salads, Pizzas, Pastas, Beverages",4.1,49,49,49,700,18.92199412
Five star chicken Domlur,Bangalore,Domlur,"Fast, Food",,66,66,66,400,
No.10 Fort Cochin,Bangalore,Ashok Nagar,"Seafood, Kerala, Biryani",4.2,32,32,32,250,29.01677007
Udta Punjab Cafe,Bangalore,Shanti Nagar,"North, Indian",,48,48,48,150,
Vegan Vogue,Bangalore,Indiranagar,"Healthy, Food, Mexican",,65,65,65,1000,
Malleshwaram Holige Mane,Bangalore,Malleshwaram,"Desserts, South, Indian, Sweets",4.4,54,54,54,120,20.30653027
Indus Spice House [ish],Bangalore,Koramangala,"North, Indian",,68,68,68,700,
Spice It by IBIS,Bangalore,Basavanagudi,"Snacks, Beverages",,40,40,40,400,
Sri Sai Cafe,Bangalore,Chamrajpet,"Fast, Food",4.3,52,52,52,150,13.09144648
IDC Kitchen,Bangalore,Gandhi Nagar,"South, Indian, North, Indian",4.4,44,44,44,150,20.30653027
Sikandar Rolls,Bangalore,Ashok Nagar,"North, Indian, Fast, Food, Biryani, Kebabs, Combo, Beverages, Desserts",4.5,45,45,45,300,20.76804233
Ujwal Family bar and restaurant,Bangalore,Central Bangalore,"Chinese, North, Indian, South, Indian",,40,40,40,800,
KC DAS Sweet bite,Bangalore,Pulikeshi Nagar,"Bengali, Snacks, Sweets",4.4,45,45,45,100,20.30653027
HOTEL NEW PRASHANTH NAATI STYLE,Bangalore,Majestic,"Chinese, Indian, Biryani, Seafood",,49,49,49,300,
89 EXPRESS DHABA,Bangalore,Rajajinagar,"North, Indian",,72,72,72,320,
TRENDY JUICE & FOODIES,Bangalore,Basavanagudi,"Fast, Food, Chinese, Snacks",,58,58,58,300,
The Rendezvous,Bangalore,Koramangala,"Continental, Italian, Indian, Chinese",4,70,70,70,600,12.17808975
24/7 - The Lalit Ashok Bangalore,Bangalore,Seshadripuram,"American, Asian, Chinese, Continental, North, Indian, Pan-Asian",3.7,55,55,55,600,11.26473302
Savi Sagar,Bangalore,Sampangiram Nagar,"Beverages, Chinese, Fast, Food, Jain, North, Indian, South, Indian",4.2,55,55,55,300,12.78699424
Khamma ghani sa,Bangalore,Koramangala,"North, Indian, Rajasthani",4.6,59,59,59,500,14.00480321
Chefmaster,Bangalore,Jayanagar,"South, Indian, Kerala, Seafood",4.1,55,55,55,300,18.92199412
The Bier Library,Bangalore,Koramangala,"Continental, North, Indian, Pizzas, American, Mexican, Italian, Beverages",4.3,61,61,61,600,16.90685022
New Life Kerala Mess,Bangalore,Indiranagar,"South, Indian",4.3,50,50,50,200,19.84501822
Indotalian I I Cafe,Bangalore,Malleshwaram,"Italian, Fast, Food, Snacks, Beverages, Ice, Cream, Desserts",,56,56,56,300,
Hotel Karavali Beach,Bangalore,Gandhi Nagar,Seafood,,47,47,47,300,
Chaska Bun,Bangalore,Koramangala,"Street, Food",4.4,57,57,57,178,20.30653027
The Ritz-Carlton - Ganache,Bangalore,Ashok Nagar,"Indian, Bakery",3.5,55,55,55,1000,10.65582853
CLOUD KITCHEN CHINNI CON COOK,Bangalore,Indiranagar,"Continental, Indian, Chinese, Beverages",,65,65,65,300,
Oye Kulcha!,Bangalore,Ashok Nagar,"North, Indian, Punjabi, Street, Food, South, Indian",,37,37,37,200,
Mumbai Xpress,Bangalore,Basavanagudi,"Chaat, Street, Food, Fast, Food",4.1,50,50,50,300,12.48254199
Toast & Tonic,Bangalore,Ashok Nagar,"European, Continental",4.3,40,40,40,900,13.09144648
Tall Blonde French,Bangalore,Koramangala,"American, European",4.2,56,56,56,250,12.78699424
South Kitchen,Bangalore,Basavanagudi,"Fast, Food, South, Indian",4.5,53,53,53,150,20.76804233
AL PIZZA CORNER,Bangalore,Shivaji Nagar,"Pizzas, Ice, Cream, Continental, Desserts",,44,44,44,250,
Imli,Bangalore,Indiranagar,"North, Indian, Punjabi",3.8,52,52,52,400,17.53745796
Cafe Grey By Dongle & Co,Bangalore,Indiranagar,"Beverages, Pizzas, Fast, Food, Bakery, Desserts",,63,63,63,450,
Aaliyar Ambur Dum Biryani,Bangalore,Ashok Nagar,Indian,,37,37,37,200,
Zin Box,Bangalore,Central Bangalore,"Asian, Continental, Italian, Pan-Asian",,46,46,46,700,
The Cafe Bar - Jayanagar,Bangalore,Jayanagar,"Beverages, European, Combo",,54,54,54,250,
Nanav Stores and Cafe,Bangalore,Indiranagar,"Beverages, Fast, Food",,64,64,64,350,
Just Shawarma,Bangalore,Indiranagar,Arabian,3.9,53,53,53,180,17.99897002
Brown Burger Co Jayanagar,Bangalore,Jayanagar,"Fast, Food, Beverages",4.4,54,54,54,199,13.39589873
ZAMA,Bangalore,Indiranagar,Turkish,,57,57,57,250,
PVR Cafe,Bangalore,Adugodi,"Snacks, Fast, Food, American",,63,63,63,400,
Shakers Cafe,Bangalore,Indiranagar,"Juices, Desserts, Indian, Fast, Food",,58,58,58,200,
Maggi Mane,Bangalore,Srirampura,"Beverages, Fast, Food, Italian",4.3,52,52,52,200,13.09144648
NEETH MEDAPPA PATISSERIE,Bangalore,Ashok Nagar,Desserts,,47,47,47,300,
Hokart - Special Hot Momos,Bangalore,Koramangala,"Fast, Food, Street, Food, Snacks, Chinese",4.3,47,47,47,150,16.90685022
CHINESE HOT,Bangalore,Vasanth Nagar,"Chinese, Thai, North, Indian",4.4,48,48,48,350,20.30653027
The Paan Studio,Bangalore,Pulikeshi Nagar,Paan,4.2,48,48,48,300,16.51366766
Earthen Delights,Bangalore,Jogupalya,Kerala,4.6,52,52,52,240,18.08639791
The Grill House - Steaks & Sizzlers,Bangalore,Sivanchetti Gardens,"American, Steakhouse, Italian, Mexican, Continental, Mediterranean, Desserts, Grill, Salads, Pastas, Pizzas, Lebanese",4.2,52,52,52,1100,19.38350617
CONRAD BENGALURU,Bangalore,Someshwarpura,"Asian, Indian, North, Indian, Chinese, Biryani, Lucknowi, Pan-Asian, European, Mughlai, Bakery, Awadhi, Japanese, Sweets, Sushi",,58,58,58,1200,
Brooks and Bonds Brewery,Bangalore,Koramangala,Indian,,66,66,66,200,
Gullu's Chaat,Bangalore,Malleshwaram,"Chaat, Snacks, Fast, Food",3.8,45,45,45,250,17.53745796
Ciro's Pizzeria,Bangalore,Central Bangalore,"Pizzas, Italian, Continental, American, Desserts",4,37,37,37,1000,15.72730253
SRI UDUPI VAIBHAV,Bangalore,Indiranagar,"South, Indian, North, Indian, Chinese",4.5,48,48,48,199,20.76804233
Wraps Rolls & Bowls,Bangalore,Indiranagar,"North, Indian, Chinese, Fast, Food, Desserts",4.3,62,62,62,250,13.09144648
House Of Kebab's,Bangalore,Jayanagar,"North, Indian, Chinese, Biryani",3.7,51,51,51,500,14.54775484
Foodism.in,Bangalore,Shankarapura,"Home, Food, North, Indian, Biryani, Thalis, Beverages, Chinese, Healthy, Food, Indian, Combo",,49,49,49,300,
JAI MATHARANI CHATS,Bangalore,Basaveshwaranagar,"Chaat, Juices, Beverages",,57,57,57,200,
Twiststick House,Bangalore,Shankarapura,"Jain, North, Indian, Continental, Fast, Food, Italian, Beverages, Thai",4.3,47,47,47,300,19.84501822
Vegan kitchen,Bangalore,Vasanth Nagar,"Continental, Desserts, Italian, Healthy, Food",,40,40,40,1200,
Artinci - Indulge Guilt Free!,Bangalore,Indiranagar,"Ice, Cream, Healthy, Food, Keto, Desserts, Snacks, Beverages, Bakery",4.7,56,56,56,200,18.47958047
IDC Kitchen,Bangalore,Indiranagar,"South, Indian, Beverages, Snacks",4.2,53,53,53,200,19.38350617
MEJESTIC CAFE,Bangalore,Majestic,"South, Indian, Indian, Chinese, Beverages",,51,51,51,250,
Zomoz - The Momo Company,Bangalore,Indiranagar,"Tibetan, Chinese, Asian, Street, Food",4.2,55,55,55,200,19.38350617
Chung Wah,Bangalore,Ashok Nagar,Chinese,4.3,38,38,38,800,19.84501822
Popat,Bangalore,Jogupalya,"Fast, Food, North, Indian",4.4,48,48,48,200,20.30653027
Hokart - Darjeeling Momos,Bangalore,Ejipura,"Fast, Food, Street, Food, Snacks, Chinese",,66,66,66,150,
MRS Hotel,Bangalore,Sivanchetti Gardens,"North, Indian",,45,45,45,200,
Cafe Mondo,Bangalore,Basavanagudi,"Pizzas, Italian",4.4,52,52,52,500,17.30003278
Maharaja Military Canteen,Bangalore,Central Bangalore,"South, Indian",3.9,38,38,38,400,17.99897002
Harshi Super Sandwich,Bangalore,Basavanagudi,"Snacks, Fast, Food, Chaat",3.7,55,55,55,100,11.26473302
UBQ by Barbeque Nation,Bangalore,Domlur,"North, Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.9,48,48,48,300,17.99897002
Rickshaw Wala,Bangalore,Central Bangalore,"Indian, North, Indian",,34,34,34,350,
Pure Punjabi Dhaba,Bangalore,Central Bangalore,"Indian, North, Indian, Snacks",,40,40,40,200,
Lazio Steaks & More,Bangalore,Pulikeshi Nagar,"Steakhouse, Pastas, American, Pizzas, Italian, Desserts, Chinese",4.5,54,54,54,800,20.76804233
Taco Street,Bangalore,Indiranagar,"Mexican, Desserts, Beverages",,63,63,63,250,
Bhagatram Sweets,Bangalore,Shivaji Nagar,"Indian, Chinese, North, Indian, Snacks",3.9,36,36,36,250,17.99897002
BB BUCKET BIRYANI,Bangalore,Central Bangalore,"Biryani, North, Indian, Chinese, Seafood",,36,36,36,700,
Roll-a-Pao,Bangalore,Indiranagar,"Fast, Food",,61,61,61,450,
Mom Made,Bangalore,Ashok Nagar,"North, Indian",,36,36,36,450,
Adiga's,Bangalore,Chickpet,"South, Indian, North, Indian, Chinese, Thalis, Fast, Food, Juices, Desserts",3.9,39,39,39,200,17.99897002
Durga Chats club road,Bangalore,Vijayanagar,"Chaat, Juices",3.6,54,54,54,100,10.96028078
Trattoria by Toscano,Bangalore,Jayanagar,"Italian, Pizzas, Pastas, Continental, Salads, Desserts, Beverages, Combo",4.1,46,46,46,900,18.92199412
Parijata pure veg,Bangalore,Richmond Town,"South, Indian",4.2,33,33,33,200,12.78699424
Kapoor's Cafe,Bangalore,Jayanagar,"North, Indian",4.1,51,51,51,500,25.48808501
A-1 Biriyani Combo 75,Bangalore,Malleshwaram,"Biryani, South, Indian",3.5,62,62,62,260,13.76138971
GEET'S KITCHEN,Bangalore,Srirampura,"North, Indian, South, Indian",,52,52,52,199,
Sukh Sagar,Bangalore,Koramangala,"South, Indian",4.3,57,57,57,400,19.84501822
Ragoos Express,Bangalore,Jayanagar,"Italian, Mexican, Beverages, Desserts",,55,55,55,350,
Drunken Monkey,Bangalore,Koramangala,"Healthy, Food, Beverages, Juices",,58,58,58,300,
Green cravings,Bangalore,Pulikeshi Nagar,"Healthy, Food, Continental, Keto, Indian, Salads",3.9,47,47,47,350,15.33411997
LunchBox,Bangalore,Shantinagar,"North, Indian, Chinese, Desserts, Biryani",4.1,38,38,38,200,18.92199412
Khawa Karpo,Bangalore,Koramangala,Chinese,4.6,53,53,53,178,21.22955438
Lazeez,Bangalore,Koramangala,"North, Indian, Mughlai",4.2,55,55,55,500,26.10974562
Sri Krishna Sweets,Bangalore,Indiranagar,Sweets,4.7,48,48,48,200,18.47958047
NAMMUR JOINT,Bangalore,Jayanagar,"Fast, Food, Snacks, Beverages, Ice, Cream",,50,50,50,200,
Chai Mane,Bangalore,Basavanagudi,"Fast, Food, Snacks, Beverages",3.7,47,47,47,100,11.26473302
The Baker's Dozen,Bangalore,Domlur,Bakery,4.3,48,48,48,300,19.84501822
The Bangalore Cafe,Bangalore,Shanti Nagar,"North, Indian, Chaat, Chinese, Pizzas, Desserts",4.1,40,40,40,400,18.92199412
Keventers Ice Cream,Bangalore,Central Bangalore,"Ice, Cream, Desserts",,38,38,38,300,
Southly Healthy,Bangalore,Chickpet,"South, Indian, Healthy, Food",3.6,47,47,47,200,10.96028078
Hotel Chandrika,Bangalore,Vasanth Nagar,"North, Indian, Chinese, Andhra, Biryani, Desserts, Ice, Cream, South, Indian, Beverages",4.3,37,37,37,300,19.84501822
COAL FLAME BIRIYAANI,Bangalore,Jayanagar,"Mughlai, Indian, Biryani, Combo, Andhra, Beverages, Kebabs, Sweets, Hyderabadi, Tandoor",,67,67,67,400,
Viceroy's Sarathi,Bangalore,Indiranagar,"Chinese, North, Indian, Beverages, Seafood",,62,62,62,600,
GAMA GAMA HOTEL,Bangalore,Basavanagudi,"Street, Food, South, Indian, Indian",4.4,55,55,55,150,20.30653027
Milkshake Memories by Gudbud,Bangalore,Koramangala,Beverages,,57,57,57,250,
Annapurna,Bangalore,Srirampura,"North, Indian, Tandoor, Chinese",,60,60,60,150,
K c kabab corner,Bangalore,Central Bangalore,"Indian, Biryani",,38,38,38,200,
Kabab Magic Roll,Bangalore,Neelasandra,Snacks,,54,54,54,400,
A1 Chips,Bangalore,Indiranagar,"Snacks, Sweets",4.5,46,46,46,250,20.76804233
Mama Mia!,Bangalore,Seshadripuram,"Desserts, Ice, Cream",,51,51,51,200,
santhanam sweets,Bangalore,Shivaji Nagar,Sweets,4.3,36,36,36,200,19.84501822
Sera's Cuisine,Bangalore,Koramangala,"Indian, Biryani, Seafood",4.2,60,60,60,300,12.78699424
Bakery by Foodhall,Bangalore,Ulsoor,"Bakery, Italian, Desserts",4.5,51,51,51,300,17.69321535
Lovespell Ice creams,Bangalore,Koramangala,"Ice, Cream, Beverages",,56,56,56,200,
Chaat Street Express,Bangalore,Koramangala,"Fast, Food, Snacks, Chaat, Street, Food, Beverages, Combo, North, Indian, Indian, Maharashtrian, Rajasthani",,59,59,59,150,
Cold Stone Creamery,Bangalore,Ashok Nagar,"Ice, Cream, Desserts, Beverages",4,48,48,48,200,15.72730253
Sigdee,Bangalore,Pulikeshi Nagar,Indian,,64,64,64,500,
Robin Brown ice cream,Bangalore,Shivaji Nagar,Desserts,,52,52,52,250,
Just Bake - Bakery Desserts Cakes & Confectioners,Bangalore,Banashankari,Desserts,3.9,45,45,45,400,15.33411997
desserted,Bangalore,Malleshwaram,"Beverages, Snacks, Fast, Food, Indian, Chinese, Italian",,44,44,44,600,
India Chai Lounge,Bangalore,Central Bangalore,"Fast, Food, Beverages",,47,47,47,250,
Manchurian Corner,Bangalore,Basavanagudi,Chinese,,53,53,53,300,
Toscano's Crafted Cakes and Desserts,Bangalore,Ashok Nagar,"Desserts, Bakery",4.5,34,34,34,600,13.70035097
The Rice Bowl,Bangalore,Ashok Nagar,Chinese,4.2,36,36,36,450,19.38350617
CREAM AND FUDGE,Bangalore,Malleshwaram,"Beverages, Desserts",,64,64,64,200,
Sri sai ram juice and chats,Bangalore,Malleshwaram,Snacks,,60,60,60,150,
Karavali Family Restaurant,Bangalore,Ashok Nagar,"Mangalorean, Seafood, Chinese, Coastal",4.1,35,35,35,200,16.12048509
Jain and Veg Cuisines,Bangalore,Basavanagudi,"Indian, Jain, Beverages, Chinese",3.6,47,47,47,300,10.96028078
Mudpipe Cafe,Bangalore,Vasanth Nagar,"Mexican, Continental",4.2,46,46,46,500,12.78699424
Rollswich Point,Bangalore,Indiranagar,"Fast, Food",,61,61,61,400,
D-Zaprino,Bangalore,Malleswaram,"North, Indian, Continental, American, Desserts, Fast, Food, Italian, Beverages, Seafood",3.9,63,63,63,300,17.99897002
That Pizza Place,Bangalore,Koramangala,"Pizzas, Italian, Fast, Food, Desserts, Continental, Mediterranean, American, Mexican, Indian, Combo, Beverages, Bakery, French, Sweets, European, Lebanese, Snacks",4.3,55,55,55,500,16.90685022
Giani Ice Cream,Bangalore,Indiranagar,"Ice, Cream, Beverages",4.3,54,54,54,300,16.90685022
Dande's Hyderabad Biryani,Bangalore,Koramangala,"Biryani, Andhra, Hyderabadi, South, Indian, North, Indian, Tandoor, Beverages, Desserts",3.3,56,56,56,350,10.04692404
EUROTRIP - EUROPEAN,Bangalore,Ashok Nagar,"Pizzas, Fast, Food",,45,45,45,600,
Lifetree,Bangalore,Langford Gardens,"Continental, Indian, Beverages, Desserts, Biryani",,39,39,39,350,
Tiwari's Ghee Paratha & Chaat,Bangalore,Basavanagudi,Rajasthani,4.1,54,54,54,300,16.12048509
Bamey's Restro Cafe,Bangalore,Koramangala,"Chinese, Thai, Nepalese",4.4,56,56,56,400,20.30653027
Chuckling Chinese,Bangalore,Koramangala,"Chinese, Fast, Food",4.1,63,63,63,300,18.92199412
Waffle Royale,Bangalore,Ashok Nagar,Desserts,,38,38,38,200,
Desi Khana,Bangalore,Banashankari,"North, Indian, Chinese, Thalis",,68,68,68,300,
Kalmane Koffees,Bangalore,Seshadripuram,Cafe,,53,53,53,350,
Misu,Bangalore,Ashok Nagar,"Pan-Asian, Chinese, Vietnamese, Malaysian, Desserts, Singaporean, Sushi",4.4,37,37,37,1300,20.30653027
Jams Kitchen,Bangalore,Rajajinagar,"Chinese, Italian, Mexican, Desserts",,62,62,62,200,
A NAIDU'S OOTADA MANE,Bangalore,Indiranagar,Indian,3.6,52,52,52,250,14.15457228
Bob's Bar,Bangalore,Indiranagar,"South, Indian, North, Indian, Fast, Food, Desserts",4.3,55,55,55,300,19.84501822
Cakewala,Bangalore,Jayanagar,Desserts,4.3,51,51,51,450,19.84501822
Eden Park,Bangalore,Shivaji Nagar,"North, Indian, Chinese, Seafood, Andhra, Biryani, Desserts, Jain, Mughlai, South, Indian, Coastal, Beverages",4.2,36,36,36,1000,19.38350617
Kodial Cafe ( We Use Ideal Icecream ) Malleshwaram,Bangalore,Malleshwaram,"Mangalorean, Ice, Cream, Snacks",4.3,55,55,55,250,16.90685022
Shyvan Fast Food,Bangalore,Langford Gardens,"North, Indian, Chinese",4.7,39,39,39,200,14.30925546
Nadan Pothichoru,Bangalore,Koramangala,"South, Indian, Kerala, Biryani",3.4,57,57,57,200,13.36820715
Go Native,Bangalore,Ashok Nagar,"Healthy, Food, Jain, North, Indian, South, Indian",4.2,38,38,38,600,19.38350617
Kund Indian Barbeque,Bangalore,Indiranagar,"Mughlai, North, Indian, Biryani, Kebabs, Desserts",4.2,58,58,58,200,19.38350617
La Heaven,Bangalore,Malleshwaram,"Desserts, Bakery, Beverages",4.1,58,58,58,384,18.92199412
Chichabas Taj,Bangalore,Pulikeshi Nagar,"Mughlai, North, Indian, Biryani",4.2,54,54,54,532,19.38350617
Andhra Mess,Bangalore,Domlur,"Andhra, South, Indian, Biryani, Chinese, Hyderabadi",3.7,57,57,57,250,17.07594591
Happy Belly Bakes- Cakes and Desserts,Bangalore,Ashok Nagar,"Desserts, Bakery, Beverages",4.7,37,37,37,350,21.69106643
SWAGAT RESTAURANT,Bangalore,Rajajinagar,"Indian, Beverages, Ice, Cream",4.1,57,57,57,350,12.48254199
EMPEROR,Bangalore,Indiranagar,"North, Indian, Chinese, South, Indian",,56,56,56,300,
Maiyas Restaurants,Bangalore,Jayanagar,"South, Indian, Fast, Food",4.3,47,47,47,250,26.73140623
