name,city,area,cuisines_clean,rating_clean,cost_two_clean,visibility_index,Platform,value_for_money
Kunafa World,Bangalore,Pulikeshi Nagar,"Middle, Eastern",4.4,500,20.30653027,Swiggy,0.0088
Hotel Udupi Ruchi,Bangalore,Rajajinagar,"South, Indian, Chinese, Desserts, North, Indian",4.1,300,18.92199412,Swiggy,0.013666667
Chaatimes,Bangalore,Ashok Nagar,"Chaat, Beverages",4.4,150,13.39589873,Swiggy,0.029333333
Sri Sai Ram Chats and Juice Centre,Bangalore,Malleshwaram,"Chaat, Snacks",4.1,200,18.92199412,Swiggy,0.0205
ROLLING DOUGH CAFE,Bangalore,Jogupalya,"Italian, Seafood, Desserts, Continental, Salads, Pizzas, Pastas, Beverages",4.1,700,18.92199412,Swiggy,0.005857143
No.10 Fort Cochin,Bangalore,Ashok Nagar,"Seafood, Kerala, Biryani",4.2,250,29.01677007,Swiggy,0.0168
Malleshwaram Holige Mane,Bangalore,Malleshwaram,"Desserts, South, Indian, Sweets",4.4,120,20.30653027,Swiggy,0.036666667
Sri Sai Cafe,Bangalore,Chamrajpet,"Fast, Food",4.3,150,13.09144648,Swiggy,0.028666667
IDC Kitchen,Bangalore,Gandhi Nagar,"South, Indian, North, Indian",4.4,150,20.30653027,Swiggy,0.029333333
Sikandar Rolls,Bangalore,Ashok Nagar,"North, Indian, Fast, Food, Biryani, Kebabs, Combo, Beverages, Desserts",4.5,300,20.76804233,Swiggy,0.015
KC DAS Sweet bite,Bangalore,Pulikeshi Nagar,"Bengali, Snacks, Sweets",4.4,100,20.30653027,Swiggy,0.044
The Rendezvous,Bangalore,Koramangala,"Continental, Italian, Indian, Chinese",4.0,600,12.17808975,Swiggy,0.006666667
24/7 - The Lalit Ashok Bangalore,Bangalore,Seshadripuram,"American, Asian, Chinese, Continental, North, Indian, Pan-Asian",3.7,600,11.26473302,Swiggy,0.006166667
Savi Sagar,Bangalore,Sampangiram Nagar,"Beverages, Chinese, Fast, Food, Jain, North, Indian, South, Indian",4.2,300,12.78699424,Swiggy,0.014
Khamma ghani sa,Bangalore,Koramangala,"North, Indian, Rajasthani",4.6,500,14.00480321,Swiggy,0.0092
Chefmaster,Bangalore,Jayanagar,"South, Indian, Kerala, Seafood",4.1,300,18.92199412,Swiggy,0.013666667
The Bier Library,Bangalore,Koramangala,"Continental, North, Indian, Pizzas, American, Mexican, Italian, Beverages",4.3,600,16.90685022,Swiggy,0.007166667
New Life Kerala Mess,Bangalore,Indiranagar,"South, Indian",4.3,200,19.84501822,Swiggy,0.0215
Chaska Bun,Bangalore,Koramangala,"Street, Food",4.4,178,20.30653027,Swiggy,0.024719101
The Ritz-Carlton - Ganache,Bangalore,Ashok Nagar,"Indian, Bakery",3.5,1000,10.65582853,Swiggy,0.0035
Mumbai Xpress,Bangalore,Basavanagudi,"Chaat, Street, Food, Fast, Food",4.1,300,12.48254199,Swiggy,0.013666667
Toast & Tonic,Bangalore,Ashok Nagar,"European, Continental",4.3,900,13.09144648,Swiggy,0.004777778
Tall Blonde French,Bangalore,Koramangala,"American, European",4.2,250,12.78699424,Swiggy,0.0168
South Kitchen,Bangalore,Basavanagudi,"Fast, Food, South, Indian",4.5,150,20.76804233,Swiggy,0.03
Imli,Bangalore,Indiranagar,"North, Indian, Punjabi",3.8,400,17.53745796,Swiggy,0.0095
Just Shawarma,Bangalore,Indiranagar,Arabian,3.9,180,17.99897002,Swiggy,0.021666667
Brown Burger Co Jayanagar,Bangalore,Jayanagar,"Fast, Food, Beverages",4.4,199,13.39589873,Swiggy,0.022110553
Maggi Mane,Bangalore,Srirampura,"Beverages, Fast, Food, Italian",4.3,200,13.09144648,Swiggy,0.0215
Hokart - Special Hot Momos,Bangalore,Koramangala,"Fast, Food, Street, Food, Snacks, Chinese",4.3,150,16.90685022,Swiggy,0.028666667
CHINESE HOT,Bangalore,Vasanth Nagar,"Chinese, Thai, North, Indian",4.4,350,20.30653027,Swiggy,0.012571429
The Paan Studio,Bangalore,Pulikeshi Nagar,Paan,4.2,300,16.51366766,Swiggy,0.014
Earthen Delights,Bangalore,Jogupalya,Kerala,4.6,240,18.08639791,Swiggy,0.019166667
The Grill House - Steaks & Sizzlers,Bangalore,Sivanchetti Gardens,"American, Steakhouse, Italian, Mexican, Continental, Mediterranean, Desserts, Grill, Salads, Pastas, Pizzas, Lebanese",4.2,1100,19.38350617,Swiggy,0.003818182
Gullu's Chaat,Bangalore,Malleshwaram,"Chaat, Snacks, Fast, Food",3.8,250,17.53745796,Swiggy,0.0152
Ciro's Pizzeria,Bangalore,Central Bangalore,"Pizzas, Italian, Continental, American, Desserts",4.0,1000,15.72730253,Swiggy,0.004
SRI UDUPI VAIBHAV,Bangalore,Indiranagar,"South, Indian, North, Indian, Chinese",4.5,199,20.76804233,Swiggy,0.022613065
Wraps Rolls & Bowls,Bangalore,Indiranagar,"North, Indian, Chinese, Fast, Food, Desserts",4.3,250,13.09144648,Swiggy,0.0172
House Of Kebab's,Bangalore,Jayanagar,"North, Indian, Chinese, Biryani",3.7,500,14.54775484,Swiggy,0.0074
Twiststick House,Bangalore,Shankarapura,"Jain, North, Indian, Continental, Fast, Food, Italian, Beverages, Thai",4.3,300,19.84501822,Swiggy,0.014333333
Artinci - Indulge Guilt Free!,Bangalore,Indiranagar,"Ice, Cream, Healthy, Food, Keto, Desserts, Snacks, Beverages, Bakery",4.7,200,18.47958047,Swiggy,0.0235
IDC Kitchen,Bangalore,Indiranagar,"South, Indian, Beverages, Snacks",4.2,200,19.38350617,Swiggy,0.021
Zomoz - The Momo Company,Bangalore,Indiranagar,"Tibetan, Chinese, Asian, Street, Food",4.2,200,19.38350617,Swiggy,0.021
Chung Wah,Bangalore,Ashok Nagar,Chinese,4.3,800,19.84501822,Swiggy,0.005375
Popat,Bangalore,Jogupalya,"Fast, Food, North, Indian",4.4,200,20.30653027,Swiggy,0.022
Cafe Mondo,Bangalore,Basavanagudi,"Pizzas, Italian",4.4,500,17.30003278,Swiggy,0.0088
Maharaja Military Canteen,Bangalore,Central Bangalore,"South, Indian",3.9,400,17.99897002,Swiggy,0.00975
Harshi Super Sandwich,Bangalore,Basavanagudi,"Snacks, Fast, Food, Chaat",3.7,100,11.26473302,Swiggy,0.037
UBQ by Barbeque Nation,Bangalore,Domlur,"North, Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.9,300,17.99897002,Swiggy,0.013
Lazio Steaks & More,Bangalore,Pulikeshi Nagar,"Steakhouse, Pastas, American, Pizzas, Italian, Desserts, Chinese",4.5,800,20.76804233,Swiggy,0.005625
Bhagatram Sweets,Bangalore,Shivaji Nagar,"Indian, Chinese, North, Indian, Snacks",3.9,250,17.99897002,Swiggy,0.0156
Adiga's,Bangalore,Chickpet,"South, Indian, North, Indian, Chinese, Thalis, Fast, Food, Juices, Desserts",3.9,200,17.99897002,Swiggy,0.0195
Durga Chats club road,Bangalore,Vijayanagar,"Chaat, Juices",3.6,100,10.96028078,Swiggy,0.036
Trattoria by Toscano,Bangalore,Jayanagar,"Italian, Pizzas, Pastas, Continental, Salads, Desserts, Beverages, Combo",4.1,900,18.92199412,Swiggy,0.004555556
Parijata pure veg,Bangalore,Richmond Town,"South, Indian",4.2,200,12.78699424,Swiggy,0.021
Kapoor's Cafe,Bangalore,Jayanagar,"North, Indian",4.1,500,25.48808501,Swiggy,0.0082
A-1 Biriyani Combo 75,Bangalore,Malleshwaram,"Biryani, South, Indian",3.5,260,13.76138971,Swiggy,0.013461538
Sukh Sagar,Bangalore,Koramangala,"South, Indian",4.3,400,19.84501822,Swiggy,0.01075
Green cravings,Bangalore,Pulikeshi Nagar,"Healthy, Food, Continental, Keto, Indian, Salads",3.9,350,15.33411997,Swiggy,0.011142857
LunchBox,Bangalore,Shantinagar,"North, Indian, Chinese, Desserts, Biryani",4.1,200,18.92199412,Swiggy,0.0205
Khawa Karpo,Bangalore,Koramangala,Chinese,4.6,178,21.22955438,Swiggy,0.025842697
Lazeez,Bangalore,Koramangala,"North, Indian, Mughlai",4.2,500,26.10974562,Swiggy,0.0084
Sri Krishna Sweets,Bangalore,Indiranagar,Sweets,4.7,200,18.47958047,Swiggy,0.0235
Chai Mane,Bangalore,Basavanagudi,"Fast, Food, Snacks, Beverages",3.7,100,11.26473302,Swiggy,0.037
The Baker's Dozen,Bangalore,Domlur,Bakery,4.3,300,19.84501822,Swiggy,0.014333333
The Bangalore Cafe,Bangalore,Shanti Nagar,"North, Indian, Chaat, Chinese, Pizzas, Desserts",4.1,400,18.92199412,Swiggy,0.01025
Southly Healthy,Bangalore,Chickpet,"South, Indian, Healthy, Food",3.6,200,10.96028078,Swiggy,0.018
Hotel Chandrika,Bangalore,Vasanth Nagar,"North, Indian, Chinese, Andhra, Biryani, Desserts, Ice, Cream, South, Indian, Beverages",4.3,300,19.84501822,Swiggy,0.014333333
GAMA GAMA HOTEL,Bangalore,Basavanagudi,"Street, Food, South, Indian, Indian",4.4,150,20.30653027,Swiggy,0.029333333
A1 Chips,Bangalore,Indiranagar,"Snacks, Sweets",4.5,250,20.76804233,Swiggy,0.018
santhanam sweets,Bangalore,Shivaji Nagar,Sweets,4.3,200,19.84501822,Swiggy,0.0215
Sera's Cuisine,Bangalore,Koramangala,"Indian, Biryani, Seafood",4.2,300,12.78699424,Swiggy,0.014
Bakery by Foodhall,Bangalore,Ulsoor,"Bakery, Italian, Desserts",4.5,300,17.69321535,Swiggy,0.015
Cold Stone Creamery,Bangalore,Ashok Nagar,"Ice, Cream, Desserts, Beverages",4.0,200,15.72730253,Swiggy,0.02
Just Bake - Bakery Desserts Cakes & Confectioners,Bangalore,Banashankari,Desserts,3.9,400,15.33411997,Swiggy,0.00975
Toscano's Crafted Cakes and Desserts,Bangalore,Ashok Nagar,"Desserts, Bakery",4.5,600,13.70035097,Swiggy,0.0075
The Rice Bowl,Bangalore,Ashok Nagar,Chinese,4.2,450,19.38350617,Swiggy,0.009333333
Karavali Family Restaurant,Bangalore,Ashok Nagar,"Mangalorean, Seafood, Chinese, Coastal",4.1,200,16.12048509,Swiggy,0.0205
Jain and Veg Cuisines,Bangalore,Basavanagudi,"Indian, Jain, Beverages, Chinese",3.6,300,10.96028078,Swiggy,0.012
Mudpipe Cafe,Bangalore,Vasanth Nagar,"Mexican, Continental",4.2,500,12.78699424,Swiggy,0.0084
D-Zaprino,Bangalore,Malleswaram,"North, Indian, Continental, American, Desserts, Fast, Food, Italian, Beverages, Seafood",3.9,300,17.99897002,Swiggy,0.013
That Pizza Place,Bangalore,Koramangala,"Pizzas, Italian, Fast, Food, Desserts, Continental, Mediterranean, American, Mexican, Indian, Combo, Beverages, Bakery, French, Sweets, European, Lebanese, Snacks",4.3,500,16.90685022,Swiggy,0.0086
Giani Ice Cream,Bangalore,Indiranagar,"Ice, Cream, Beverages",4.3,300,16.90685022,Swiggy,0.014333333
Dande's Hyderabad Biryani,Bangalore,Koramangala,"Biryani, Andhra, Hyderabadi, South, Indian, North, Indian, Tandoor, Beverages, Desserts",3.3,350,10.04692404,Swiggy,0.009428571
Tiwari's Ghee Paratha & Chaat,Bangalore,Basavanagudi,Rajasthani,4.1,300,16.12048509,Swiggy,0.013666667
