name,city,area,cuisines_clean,rating_clean,cost_two_clean,visibility_index,Platform,value_for_money
New Shanti Sagar,Bangalore,Rajajinagar,"South, Indian, Chinese, North, Indian, Fast, Food",4.0,200,27.63501912,Swiggy,0.02
McDonald's,Bangalore,Ashok Nagar,"American, Fast, Food",4.2,400,26.10974562,Swiggy,0.0105
Pizza Hut,Bangalore,Langford Gardens,"Pizzas, Fast, Food",3.8,600,17.53745796,Swiggy,0.006333333
Punjabi Rasoi,Bangalore,Indiranagar,"North, Indian",4.1,800,28.3258946,Swiggy,0.005125
RNR Biryani - Taste of 1953,Bangalore,Jayanagar,"Biryani, South, Indian, Kebabs, Combo, Beverages, Desserts",4.1,350,18.92199412,Swiggy,0.011714286
Royal Treat,Bangalore,Koramangala,"North, Indian, Chinese, Seafood, Biryani",4.1,193,25.48808501,Swiggy,0.021243523
Hamza hotel,Bangalore,Shivaji Nagar,"Continental, Fast, Food, Street, Food",4.2,300,29.01677007,Swiggy,0.014
7 Plates,Bangalore,Benson Town,"Biryani, Chinese, North, Indian",4.3,350,26.73140623,Swiggy,0.012285714
Roti Ghar,Bangalore,Basavanagudi,"Chinese, South, Indian, North, Indian, Desserts, Fast, Food, Beverages, Mughlai",4.1,400,28.3258946,Swiggy,0.01025
Mani's Dum Biryani,Bangalore,Sivanchetti Gardens,Biryani,4.3,499,29.70764555,Swiggy,0.008617234
Hyderabad Biriyani House,Bangalore,Srirampura,"Biryani, Chinese, Hyderabadi, Andhra, Fast, Food",4.2,500,26.10974562,Swiggy,0.0084
Nagarjuna,Bangalore,Ashok Nagar,"Andhra, South, Indian, Biryani, Combo, Beverages, Desserts",4.4,600,30.39852103,Swiggy,0.007333333
Gokul Veg,Bangalore,Basavanagudi,"North, Indian, Jain, Indian, Beverages, Desserts",4.3,500,26.73140623,Swiggy,0.0086
Nandhana Palace,Bangalore,Indiranagar,"Biryani, Andhra, South, Indian, North, Indian",4.1,500,25.48808501,Swiggy,0.0082
Madeena Hotel,Bangalore,Koramangala,"Biryani, Mughlai, Indian, Beverages",4.1,250,28.3258946,Swiggy,0.0164
CakeZone,Bangalore,Domlur,"Desserts, Bakery, Sweets, Ice, Cream, Beverages, Juices, Bengali",4.3,200,26.73140623,Swiggy,0.0215
Vishnu Garden,Bangalore,Ganganagar,"Chinese, South, Indian, North, Indian",4.4,251,30.39852103,Swiggy,0.01752988
Kerala Food Club,Bangalore,Koramangala,"Kerala, Chinese, Biryani, Seafood, South, Indian",4.2,250,26.10974562,Swiggy,0.0168
Hotel Moonlight,Bangalore,Malleshwaram,"Indian, Chinese, Biryani, Tandoor",4.1,500,18.92199412,Swiggy,0.0082
Sri Maruthi Miltry Hotel,Bangalore,Rajajinagar,"Biryani, South, Indian, Combo",3.8,250,23.62310318,Swiggy,0.0152
New Shanthi Sagar,Bangalore,Jayanagar,"North, Indian, Chinese, Fast, Food",4.1,400,25.48808501,Swiggy,0.01025
Samosa Party,Bangalore,Ashok Nagar,"Fast, Food, North, Indian, Snacks, Street, Food, Beverages, Chaat",4.5,150,27.97472745,Swiggy,0.03
Imperial Restaurant,Bangalore,Shivaji Nagar,"Arabian, Chinese, Desserts, Mughlai, North, Indian, Seafood, South, Indian",4.2,400,19.38350617,Swiggy,0.0105
Call Me Chow,Bangalore,Koramangala,"Chinese, Pan-Asian",4.3,400,29.70764555,Swiggy,0.01075
Fanoos,Bangalore,Richmond Town,"Biryani, Tandoor, Kebabs, Barbecue, Fast, Food",4.2,300,26.10974562,Swiggy,0.014
Priyadarshini Restaurant,Bangalore,Gandhinagar,"South, Indian, Desserts, Fast, Food",4.4,150,27.35306684,Swiggy,0.029333333
Rang De Basanti Dhaba,Bangalore,Domlur,"North, Indian, Kebabs, Biryani, Snacks, Combo, Punjabi, Desserts, Tandoor, Indian",4.2,300,29.01677007,Swiggy,0.014
La Pino'z Pizza,Bangalore,Basavanagudi,Pizzas,3.9,220,17.99897002,Swiggy,0.017727273
MEGHDUTH BIRYANIS,Bangalore,Jayanagar,"Andhra, Biryani, South, Indian",4.2,400,19.38350617,Swiggy,0.0105
South Spicy Bites Xpress,Bangalore,Rajajinagar,"Biryani, Coastal, Mangalorean, Seafood, Chinese, South, Indian",4.2,299,16.51366766,Swiggy,0.014046823
The Bowl Company,Bangalore,Central Bangalore,"Continental, North, Indian, Pan-Asian, Desserts, American, Asian, Beverages, Biryani, Chinese, Combo, European, Grill, Hyderabadi, Indian, Italian, Kebabs, Lucknowi, Mediterranean, Mexican, Mughlai, Oriental, Pastas, Punjab",4.2,300,29.01677007,Swiggy,0.014
Domino's Pizza,Bangalore,Central Bangalore,Pizzas,4.1,400,12.48254199,Swiggy,0.01025
Hotel New Karavali,Bangalore,Banashankari,"North, Indian, Chinese, South, Indian",3.8,250,17.53745796,Swiggy,0.0152
Karnataka Bhel House,Bangalore,Chamrajpet,Chaat,4.4,100,27.35306684,Swiggy,0.044
Szechuan Dragon,Bangalore,Banashankari,"Chinese, Thai",4.1,500,25.48808501,Swiggy,0.0082
Onesta,Bangalore,Indiranagar,"Italian, Desserts, Pizzas, American, Snacks",3.9,200,24.24476379,Swiggy,0.0195
SLV Corner Restaurant,Bangalore,Shankarapura,"Chinese, South, Indian, North, Indian, Desserts, Fast, Food",4.3,450,29.70764555,Swiggy,0.009555556
Glen's Bakehouse,Bangalore,Ashok Nagar,"Desserts, Bakery",4.3,500,19.84501822,Swiggy,0.0086
Paakashala ,Bangalore,Ashok Nagar,"South, Indian, North, Indian, Chinese",4.3,500,19.84501822,Swiggy,0.0086
99 VARIETY AND DOSA & PAV BHAJI,Bangalore,Koramangala,"South, Indian",4.0,200,24.8664244,Swiggy,0.02
Rajathadri Food Fort,Bangalore,Jayanagar,"Chinese, South, Indian, North, Indian, Desserts, Fast, Food",4.4,350,30.39852103,Swiggy,0.012571429
WarmOven Cake & Desserts,Bangalore,Central Bangalore,"Bakery, Desserts, Ice, Cream",4.2,200,19.38350617,Swiggy,0.021
Venus Biryani,Bangalore,Domlur,Biryani,4.1,200,25.48808501,Swiggy,0.0205
Manjit Da Dhaba,Bangalore,Cox Town,"North, Indian",4.5,350,31.08939651,Swiggy,0.012857143
NIC Natural Ice Creams,Bangalore,Pulikeshi Nagar,"Ice, Cream, Desserts",4.6,120,21.22955438,Swiggy,0.038333333
The Belgian Waffle Co.,Bangalore,Shankarapura,"Desserts, Beverages",4.5,200,20.76804233,Swiggy,0.0225
Green Onion Chinese,Bangalore,Ashok Nagar,Chinese,4.4,450,27.35306684,Swiggy,0.009777778
Shree Mahalakshmi Sweets,Bangalore,Chamrajpet,"Sweets, Snacks",4.1,200,18.92199412,Swiggy,0.0205
Nagarjuna Chimney,Bangalore,Jayanagar,"Seafood, Andhra, Biryani, South, Indian, Combo, Desserts, Beverages",4.2,800,29.01677007,Swiggy,0.00525
Natraj Chole Bhature,Bangalore,Jayanagar,"Indian, Chaat, Sweets",4.2,299,26.10974562,Swiggy,0.014046823
Sagar Delicacy,Bangalore,Sivanchetti Gardens,"North, Indian, South, Indian, Chinese",4.3,300,19.84501822,Swiggy,0.014333333
Biryani by Kilo,Bangalore,Koramangala,"Biryani, Hyderabadi, Lucknowi, Kebabs, Mughlai, North, Indian, Desserts, Beverages",4.1,500,25.48808501,Swiggy,0.0082
Ancient CHINESE HOUSE,Bangalore,Koramangala,Chinese,4.1,300,18.92199412,Swiggy,0.013666667
Polar Bear,Bangalore,Shankarapura,"Desserts, Fast, Food",4.5,300,20.76804233,Swiggy,0.015
MTR,Bangalore,Ashok Nagar,"South, Indian",4.4,300,30.39852103,Swiggy,0.014666667
A2B Veg,Bangalore,Wilson Garden,"South, Indian, North, Indian, Sweets, Chinese",4.2,300,29.01677007,Swiggy,0.014
Chopstick,Bangalore,Banashankari,"Chinese, Thai, Seafood, Asian, Combo, Healthy, Food, Beverages",3.8,350,17.53745796,Swiggy,0.010857143
Andhra Gunpowder,Bangalore,Central Bangalore,"Andhra, Biryani",4.3,400,26.73140623,Swiggy,0.01075
Chinese BAE,Bangalore,Banashankari,"Chinese, Thai, Seafood, Asian, Combo, Healthy, Food, Beverages",3.7,400,23.00144257,Swiggy,0.00925
Utse Kitchen,Bangalore,Shivaji Nagar,"Chinese, Tibetan, Nepalese, Pan-Asian",4.2,500,19.38350617,Swiggy,0.0084
Tibetan Mother's Kitchen,Bangalore,Koramangala,"Chinese, Tibetan, Thai",4.1,250,25.48808501,Swiggy,0.0164
Dal Roti Sabji,Bangalore,New Tippasandra,"North, Indian",4.5,150,20.76804233,Swiggy,0.03
Sri Krishna Sagar,Bangalore,Koramangala,"South, Indian, North, Indian, Fast, Food, Beverages, Jain",4.2,126,29.01677007,Swiggy,0.033333333
Chungs Chinese Corner - Cunningham Road,Bangalore,Vasanth Nagar,"Chinese, Snacks",4.2,450,19.38350617,Swiggy,0.009333333
The Purple Pan,Bangalore,Rajajinagar,"Mughlai, North, Indian, Chinese, Arabian",4.1,400,28.3258946,Swiggy,0.01025
Halli Donne Biryani,Bangalore,Koramangala,"South, Indian",3.7,200,14.54775484,Swiggy,0.0185
Asha Sweets Center,Bangalore,Basavanagudi,Indian,4.3,1000,19.84501822,Swiggy,0.0043
Veena Stores,Bangalore,Malleshwaram,"South, Indian",4.5,100,31.08939651,Swiggy,0.045
Uttara karnatakadha Jolada rotti Mattu Chapati Angadi ,Bangalore,Basavanagudi,"South, Indian, Snacks, Indian",4.3,100,19.84501822,Swiggy,0.043
Taco Bell,Bangalore,Central Bangalore,Mexican,4.2,300,19.38350617,Swiggy,0.014
Anand Sweets and Savouries,Bangalore,Shivaji Nagar,"Sweets, Chaat, Snacks, Desserts, North, Indian",4.6,200,28.59638806,Swiggy,0.023
Biryani Canteen,Bangalore,Rajajinagar,"Biryani, Chinese, North, Indian, Tandoor",4.0,400,18.46048207,Swiggy,0.01
Nando's,Bangalore,Indiranagar,"Fast, Food, Portuguese, African, Grill, Salads",4.3,450,26.73140623,Swiggy,0.009555556
Sandwich Guru,Bangalore,Basavanagudi,"Snacks, Beverages",4.3,99,19.84501822,Swiggy,0.043434343
Aroma of Asia,Bangalore,Pulikeshi Nagar,Chinese,4.2,400,19.38350617,Swiggy,0.0105
Khichdi Experiment,Bangalore,Koramangala,"Home, Food, Indian, Healthy, Food, North, Indian, Snacks, Maharashtrian, Sweets, South, Indian, Combo, Desserts, Beverages, Kebabs",4.5,250,20.76804233,Swiggy,0.018
Paradise Biryani,Bangalore,Rajajinagar,"Biryani, Kebabs",3.9,400,17.99897002,Swiggy,0.00975
California Burrito,Bangalore,Central Banglore,"Mexican, American, Salads, Continental, Keto, Healthy, Food",4.5,250,31.08939651,Swiggy,0.018
Srinidhi Sagar,Bangalore,Indiranagar,"South, Indian, North, Indian, Indian, Chinese, Beverages, Desserts",4.0,200,15.72730253,Swiggy,0.02
Paratha Experiment,Bangalore,Koramangala,"North, Indian, Punjabi, Home, Food, Indian, Snacks, Combo, Desserts, Beverages, South, Indian, Continental, Chettinad, Healthy, Food, Chinese, Sweets",4.3,200,16.90685022,Swiggy,0.0215
India Bistro,Bangalore,Indiranagar,"North, Indian, Biryani, Kebabs, Indian, Mughlai, Seafood, Desserts, Beverages",4.4,750,20.30653027,Swiggy,0.005866667
Sampurna - The House of Southern Flavours,Bangalore,Jogupalya,"South, Indian, Hyderabadi, Andhra, Biryani, Desserts, Snacks",4.2,200,19.38350617,Swiggy,0.021
Kerala Pavilion,Bangalore,Domlur,"Kerala, Seafood",4.1,300,18.92199412,Swiggy,0.013666667
Kwality Walls Frozen Dessert and Ice Cream Shop,Bangalore,Basavanagudi,"Ice, Cream",4.5,300,13.70035097,Swiggy,0.015
Anupams Coast II Coast,Bangalore,Ashok Nagar,"Mangalorean, Chinese, North, Indian, Mughlai, Punjabi, Awadhi",4.0,1200,18.46048207,Swiggy,0.003333333
Grill Biriyanis,Bangalore,Malleshwaram,"Biryani, Andhra, Tandoor, Grill",3.5,300,13.76138971,Swiggy,0.011666667
The Betel Leaf Co.,Bangalore,Sampangiram Nagar,"Paan, Desserts",4.5,100,20.76804233,Swiggy,0.045
Kaati Zone Rolls & Wraps,Bangalore,Kodihalli,"Fast, Food, Beverages, Bengali, Biryani, Indian, North, Indian, Snacks, Street, Food",4.3,150,19.84501822,Swiggy,0.028666667
Treat,Bangalore,Indiranagar,"Mughlai, North, Indian",4.5,800,20.76804233,Swiggy,0.005625
Baskin Robbins,Bangalore,Ashok Nagar,Desserts,4.4,400,17.30003278,Swiggy,0.011
Upahara Darshini KIMS Canteen,Bangalore,VV Puram,"South, Indian, North, Indian, Desserts, Chinese",4.4,400,13.39589873,Swiggy,0.011
Shree Veerabhadreshwara Rotti Holige Mane,Bangalore,Rajajinagar,"South, Indian",4.1,200,18.92199412,Swiggy,0.0205
Art Of Delight,Bangalore,Ashok Nagar,"Ice, Cream, Desserts, Beverages",4.6,250,21.22955438,Swiggy,0.0184
In Wok,Bangalore,Richmond Town,Chinese,4.3,500,19.84501822,Swiggy,0.0086
Tadka Singh,Bangalore,Ashok Nagar,"Punjabi, North, Indian",4.2,300,19.38350617,Swiggy,0.014
The Dessert Zone,Bangalore,Central Bangalore,"Bakery, Desserts, Ice, Cream, Beverages",3.9,200,11.87363751,Swiggy,0.0195
Malabar Biriyani World,Bangalore,Adugodi,"Biryani, Kerala, Seafood",4.3,250,13.09144648,Swiggy,0.0172
Burger Seigneur,Bangalore,Ashok Nagar,"American, Beverages",4.3,1200,19.84501822,Swiggy,0.003583333
Shanthi Sagar Grand,Bangalore,Malleshwaram,"North, Indian, South, Indian, Fast, Food",4.0,200,18.46048207,Swiggy,0.02
Airlines Hotel,Bangalore,Ashok Nagar,"South, Indian, North, Indian",4.3,500,19.84501822,Swiggy,0.0086
Behrouz Biryani,Bangalore,Shantinagar,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North, Indian, Persian, Desserts",4.3,500,19.84501822,Swiggy,0.0086
Subway,Bangalore,Ashok Nagar,"Fast, Food, Salads, Snacks, Desserts, Beverages",4.4,350,20.30653027,Swiggy,0.012571429
Palmgrove Ballal Residency,Bangalore,Ashok Nagar,"Chinese, Coastal, Desserts, Fast, Food, Jain, North, Indian, South, Indian",4.4,400,20.30653027,Swiggy,0.011
Jalpaan,Bangalore,Jayanagar,"Desserts, Italian, Jain, Mexican",4.4,650,20.30653027,Swiggy,0.006769231
BOX8 - Desi Meals,Bangalore,New Tippasandra,"North, Indian, Biryani, Combo, Snacks",4.1,250,18.92199412,Swiggy,0.0164
1947 Restaurant,Bangalore,Malleshwaram,"North, Indian, Chinese, Desserts, Biryani",4.4,900,20.30653027,Swiggy,0.004888889
The Fatty Bao,Bangalore,Ashok Nagar,Asian,4.3,1000,19.84501822,Swiggy,0.0043
Suzy Q by 1522,Bangalore,Central Bangalore,"Continental, Indian, Seafood, Asian, Chaat, Desserts",4.3,800,13.09144648,Swiggy,0.005375
Makers of Milkshakes,Bangalore,Koramangala,"Beverages, Desserts",4.2,260,16.51366766,Swiggy,0.016153846
Darjeeling Hot Momos,Bangalore,Koramangala,Chinese,4.2,250,19.38350617,Swiggy,0.0168
Krispy Kreme,Bangalore,Victoria Layout,"Desserts, Beverages",4.7,170,21.69106643,Swiggy,0.027647059
Sreeraj Lassi Bar,Bangalore,Shivaji Nagar,"Juices, Desserts",4.2,250,12.78699424,Swiggy,0.0168
Brik Oven,Bangalore,Ashok Nagar,"Pizzas, Italian, Desserts, Beverages",4.5,1000,20.76804233,Swiggy,0.0045
Ice Thunder - Balaji's Veg,Bangalore,Basavanagudi,"South, Indian, North, Indian, Chinese, Desserts, Fast, Food, Thalis",3.8,200,17.53745796,Swiggy,0.019
Tandoori Taal,Bangalore,Sampangi Rama Nagar,Indian,4.5,700,20.76804233,Swiggy,0.006428571
Esplanade,Bangalore,Indiranagar,"Mughlai, Bengali",4.3,1200,19.84501822,Swiggy,0.003583333
Cream Stone,Bangalore,Pulikeshi Nagar,"Ice, Cream, Desserts, Beverages",4.3,400,19.84501822,Swiggy,0.01075
Paratha Envy,Bangalore,Central Bangalore,"North, Indian",4.4,400,20.30653027,Swiggy,0.011
Subbudus The SnackStop ( Eswaris Homemade snacks ),Bangalore,Indiranagar,"Sweets, Snacks, Indian",4.8,150,14.6137077,Swiggy,0.032
Nizam's Kitchens,Bangalore,Koramangala,"Biryani, Andhra, Hyderabadi, South, Indian, North, Indian, Tandoor, Beverages, Desserts",4.1,450,16.12048509,Swiggy,0.009111111
Punjab Express,Bangalore,Central Bangalore,"North, Indian",4.1,300,18.92199412,Swiggy,0.013666667
Mamagoto,Bangalore,Indiranagar,"Chinese, Asian, Pan-Asian, Thai, Oriental",4.2,900,19.38350617,Swiggy,0.004666667
Kota Kachori And Falahaar,Bangalore,Domlur,"Chaat, North, Indian, Snacks, Rajasthani, Sweets, Desserts, Beverages",4.1,15,28.3258946,Swiggy,0.273333333
Dice N Dine,Bangalore,Koramangala,"American, Asian, Chinese, Continental, Desserts, Italian, Jain, Mexican",4.0,500,24.8664244,Swiggy,0.008
Andhra Ruchulu,Bangalore,Jayanagar,"Andhra, Chettinad, Chinese, Desserts, North, Indian, Seafood",4.2,500,19.38350617,Swiggy,0.0084
Sattvam,Bangalore,Armane Nagar,"Chinese, South, Indian, North, Indian, Continental, Desserts, Italian",4.2,1200,19.38350617,Swiggy,0.0035
AL- BEK,Bangalore,Rajajinagar,"Mughlai, North, Indian",3.9,400,17.99897002,Swiggy,0.00975
SWATHI RESTAURANT,Bangalore,Malleshwaram,Indian,4.3,300,13.09144648,Swiggy,0.014333333
SMOOR,Bangalore,Ashok Nagar,"Desserts, Asian, Beverages, Bakery, Italian, Continental, Pizzas, Italian-American",4.3,300,19.84501822,Swiggy,0.014333333
SRI RAJARAJESHWARI IYER MESS,Bangalore,Malleshwaram,"South, Indian",4.4,200,20.30653027,Swiggy,0.022
Rosy Roti,Bangalore,Domlur,"Home, Food, North, Indian, Punjabi, Snacks, Combo, Desserts",4.4,200,20.30653027,Swiggy,0.022
Sri Udupi Food Hub,Bangalore,Jayanagar - 3rd Block,"South, Indian, North, Indian, Indian, Chinese, Fast, Food, Combo, Chaat, Ice, Cream, Desserts, Beverages",4.3,199,26.73140623,Swiggy,0.02160804
Biryani Blues,Bangalore,Church Street,"Biryani, Kebabs, Lucknowi, Hyderabadi",4.2,400,16.51366766,Swiggy,0.0105
Mainland China,Bangalore,Ashok Nagar,"Chinese, Oriental, Thai, Pan-Asian, Seafood, Asian, Desserts",4.3,850,19.84501822,Swiggy,0.005058824
Big Bowl Company,Bangalore,Koramangala,"North, Indian, Chinese, Biryani, Fast, Food",4.1,250,18.92199412,Swiggy,0.0164
Sharief Bhai,Bangalore,Pulikeshi Nagar,"Biryani, North, Indian, Kebabs, Mughlai, Grill, Fast, Food, Beverages, Combo, Sweets, Desserts",4.1,400,28.3258946,Swiggy,0.01025
Bhartiya Jalpan,Bangalore,Shivaji Nagar,"North, Indian, Fast, Food, Punjabi, Beverages, Desserts",4.3,270,26.73140623,Swiggy,0.015925926
Marwadi Chaat & Tiffin Services Shanti nagar,Bangalore,Shanti Nagar,"North, Indian",3.9,300,17.99897002,Swiggy,0.013
Kailash Parbat,Bangalore,Armane Nagar,"Fast, Food, North, Indian, Street, Food",4.2,300,26.10974562,Swiggy,0.014
Vidyarthi Bhavan,Bangalore,Gandhi Bazaar,"South, Indian",4.3,150,29.70764555,Swiggy,0.028666667
Raidan,Bangalore,R.T. Nagar,"Arabian, Chinese, Fast, Food, Beverages, Mughlai",3.9,400,17.99897002,Swiggy,0.00975
Suchi Ruchi,Bangalore,Malleshwaram,"South, Indian, Chinese, Chaat, North, Indian, Fast, Food, Snacks",4.0,200,24.8664244,Swiggy,0.02
Anjappar,Bangalore,Ashok Nagar,"Chettinad, Thalis, Biryani, Chinese, Tandoor, South, Indian, North, Indian",4.1,400,18.92199412,Swiggy,0.01025
FreshMenu,Bangalore,Richmond Town,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, Beverages, Bakery, Biryani, Desserts, Mexican, North, Indian, Salads, Pizzas",4.1,250,28.3258946,Swiggy,0.0164
Hyderabad Biryaani House,Bangalore,Victoria Layout,Indian,4.3,499,19.84501822,Swiggy,0.008617234
Richie Rich,Bangalore,Seshadripuram,"Desserts, Snacks, Chaat, Ice, Cream",4.4,500,27.35306684,Swiggy,0.0088
Yumlane Pizza,Bangalore,Central Bangalore,"Pizzas, Beverages, Desserts, Snacks",3.9,300,17.99897002,Swiggy,0.013
Tandoor Hut,Bangalore,Koramangala,"Biryani, Chinese, North, Indian, South, Indian",4.4,300,20.30653027,Swiggy,0.014666667
Sagar Restaurant,Bangalore,Seshadripuram,"Chinese, South, Indian, North, Indian",4.3,500,19.84501822,Swiggy,0.0086
RUMI,Bangalore,Indiranagar,"Indian, North, Indian, Awadhi, Mughlai, Kebabs, Biryani",4.0,500,18.46048207,Swiggy,0.008
Sardarji Londonwaley,Bangalore,Koramangala,"Indian, North, Indian, Punjabi, Chinese, Biryani",4.0,350,24.8664244,Swiggy,0.011428571
Main Lassi Shop,Bangalore,Shivaji Nagar,"Beverages, Juices, Ice, Cream, Pizzas, Desserts",3.8,250,17.53745796,Swiggy,0.0152
ARAMANE DONNE BIRIYANI,Bangalore,Koramangala,Indian,4.3,300,19.84501822,Swiggy,0.014333333
Ambur Star Briyani Since 1890,Bangalore,Indiranagar,"Biryani, Chettinad, Andhra, Beverages, Seafood",4.3,600,29.70764555,Swiggy,0.007166667
Asha Food Camp,Bangalore,Malleshwaram,"Indian, Beverages, Biryani, Chinese, Desserts, Ice, Cream, Juices, Tandoor, North, Indian, Street, Food, Chaat, South, Indian",4.5,250,27.97472745,Swiggy,0.018
Karama,Bangalore,Pulikeshi Nagar,"Arabian, Biryani, Desserts, Mughlai, North, Indian",4.2,400,26.10974562,Swiggy,0.0105
EatFit,Bangalore,Central Bangalore,"Healthy, Food, Pizzas, North, Indian, Thalis, Biryani",4.4,270,27.35306684,Swiggy,0.016296296
Karnataka biryani point,Bangalore,Srirampura,Biryani,4.1,250,18.92199412,Swiggy,0.0164
Swathi Greenland,Bangalore,Vijayanagar,"Chinese, North, Indian, Desserts, Andhra, Beverages, Seafood, Punjabi, Hyderabadi",4.4,400,17.30003278,Swiggy,0.011
Dhaba Estd 1986 Delhi,Bangalore,Indiranagar,"Biryani, Hyderabadi, North, Indian, Indian, Tandoor, Punjabi",4.2,900,19.38350617,Swiggy,0.004666667
Uttara Karnataka Jolad Rotti & Chapathi Store,Bangalore,Shankarapura,"South, Indian",4.0,200,18.46048207,Swiggy,0.02
The Salad Studio,Bangalore,Indiranagar,"Healthy, Food, Salads, Cafe, Fast, Food, Beverages",4.4,300,20.30653027,Swiggy,0.014666667
Church Street Social,Bangalore,Ashok Nagar,"Indian, Chinese, South, Indian, American, Fast, Food, Kebabs, Mughlai, Biryani, Combo",4.2,500,19.38350617,Swiggy,0.0084
Mad Over Donuts,Bangalore,Ashok Nagar,"Desserts, Sweets, Bakery",4.2,200,16.51366766,Swiggy,0.021
ITC Gardenia - Flavours,Bangalore,Ashok Nagar,"Indian, Continental, North, Indian, Biryani, Desserts",4.2,1000,12.78699424,Swiggy,0.0042
Sri Udupi Grand Veg,Bangalore,Shanti Nagar,"Beverages, North, Indian, South, Indian",4.1,250,18.92199412,Swiggy,0.0164
Om Shiva Shakthi chats center,Bangalore,Basavanagudi,"Fast, Food, Chaat, Beverages",4.4,150,17.30003278,Swiggy,0.029333333
Oven Story Pizza,Bangalore,Shantinagar,Pizzas,4.1,600,18.92199412,Swiggy,0.006833333
BASAVESHWAR KHANAVALI,Bangalore,Jayanagar,Indian,4.2,300,19.38350617,Swiggy,0.014
New Krishna Sagar,Bangalore,New Tippasandra,"South, Indian, North, Indian, Chinese, Snacks",4.1,100,16.12048509,Swiggy,0.041
Voosh Thalis & Bowls,Bangalore,Basavanagudi,"North, Indian, Home, Food, Indian, Beverages, Thalis, Combo",3.5,199,13.76138971,Swiggy,0.01758794
Malleshwaram dose corner,Bangalore,Malleshwaram,"South, Indian, Snacks",4.4,120,27.35306684,Swiggy,0.036666667
Altaf's Chillies Restaurants,Bangalore,Cooke Town,"North, Indian, Chinese",4.3,250,26.73140623,Swiggy,0.0172
Momoz,Bangalore,Banashankari,"Chinese, Thai, Seafood, Asian, Combo, Malaysian",3.8,350,23.62310318,Swiggy,0.010857143
Hotel Dwarka,Bangalore,Basavanagudi,"South, Indian",4.4,200,30.39852103,Swiggy,0.022
Great Indian Khichdi,Bangalore,Rajajinagar,"Indian, Home, Food, Healthy, Food, Snacks",4.2,200,26.10974562,Swiggy,0.021
Magnolia Bakery,Bangalore,Indiranagar,"Desserts, Bakery, Ice, Cream",4.6,500,21.22955438,Swiggy,0.0092
RS Shiv Sagar,Bangalore,Seshadripuram,"North, Indian, Chinese, South, Indian, Mexican",4.3,500,19.84501822,Swiggy,0.0086
Fresh Bites,Bangalore,Indiranagar,"North, Indian, South, Indian, Chinese, Fast, Food, Juices, Tandoor",4.1,200,25.48808501,Swiggy,0.0205
Kim Lee,Bangalore,Jogupalya,Chinese,4.4,650,20.30653027,Swiggy,0.006769231
Theobroma,Bangalore,Central Bangalore,"Desserts, Bakery, Beverages",4.5,500,27.97472745,Swiggy,0.009
Happy Platter,Bangalore,Rajajinagar,"Chinese, Combo, Italian, Pastas, Snacks",4.0,300,18.46048207,Swiggy,0.013333333
Delicacy,Bangalore,Pulikeshi Nagar,"Chinese, Thai",4.2,400,26.10974562,Swiggy,0.0105
HUNGRY CHANG,Bangalore,Koramangala,"Chinese, Fast, Food, Pan-Asian, Combo",3.8,280,17.53745796,Swiggy,0.013571429
Gudbud,Bangalore,Koramangala,"Ice, Cream, Desserts",4.6,300,28.59638806,Swiggy,0.015333333
New kadai restaurant,Bangalore,Ganganagar,"Tandoor, Chinese, Juices, Ice, Cream",4.1,400,18.92199412,Swiggy,0.01025
Food Paradise,Bangalore,Malleshwaram,"Mughlai, North, Indian, Chinese, Fast, Food",3.9,326,17.99897002,Swiggy,0.01196319
Punjabi Unplugged,Bangalore,Koramangala,"North, Indian, Chinese, Indian, Mughlai",3.9,300,24.24476379,Swiggy,0.013
Dock Frost'd -Ice Cream & Milkshakes,Bangalore,Koramangala,"Desserts, Ice, Cream, Beverages",4.4,250,27.35306684,Swiggy,0.0176
Chung Wah Opus,Bangalore,Jayanagar,"Chinese, Pan-Asian",3.8,300,17.53745796,Swiggy,0.012666667
Kamat Bugle Rock,Bangalore,Basavanagudi,"North, Indian, South, Indian",4.4,400,20.30653027,Swiggy,0.011
Barbeque Nation,Bangalore,Domlur,"North, Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.8,600,14.9409374,Swiggy,0.006333333
GREEN CHILLY,Bangalore,Rajajinagar,"Chinese, North, Indian, Indian",4.3,300,19.84501822,Swiggy,0.014333333
M/s. SUKHSAGAR HOTEL GANDHINAGAR,Bangalore,Gandhi Nagar,"North, Indian",4.2,200,16.51366766,Swiggy,0.021
DELHI CHAAT HOUSE,Bangalore,Indiranagar,"Chaat, Indian",3.6,225,10.96028078,Swiggy,0.016
Savoury,Bangalore,Pulikeshi Nagar,"Biryani, Mughlai, Kebabs, Desserts",4.4,800,30.39852103,Swiggy,0.0055
The Congee Concept,Bangalore,Indiranagar,"South, Indian",4.6,300,21.22955438,Swiggy,0.015333333
Pipabu,Bangalore,Koramangala,"Pizzas, Italian, American, Continental, Salads, Desserts",4.0,250,24.8664244,Swiggy,0.016
YUM YUM KOLKATA,Bangalore,Indiranagar,"Bengali, Indian, Chinese",4.4,400,20.30653027,Swiggy,0.011
Bikaner Sweets,Bangalore,Jayanagar,Sweets,3.7,99,11.26473302,Swiggy,0.037373737
